PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,5,42,0.17,0.30,0.63,0.96,0,40,20,0.56,0.57,3.87,100.00,100.00,100.00,39.40,0.60,15.50,38.40,78.40,0.00,0.00
PPP1.ppp,2,38,0.44,0.62,1.18,0.60,0,40,20,0.76,0.66,7.23,100.00,100.00,100.00,95.20,2.90,31.70,78.40,97.20,99.00,99.60
PPP2.ppp,2,38,0.77,0.67,1.51,0.34,0,40,20,0.83,0.70,9.24,100.00,100.00,100.00,91.20,3.70,22.40,79.10,99.60,97.70,99.40
PPP3.ppp,2,38,0.64,0.70,1.40,0.40,0,40,20,0.82,0.67,8.62,100.00,100.00,100.00,90.40,3.40,11.80,82.10,99.20,84.00,92.00
PPP4.ppp,2,38,0.36,0.60,1.10,0.64,0,40,20,0.78,0.61,6.61,100.00,0.00,100.00,73.70,3.20,8.40,68.90,100.00,94.10,94.90
PPP5.ppp,2,38,0.45,0.82,1.46,0.34,0,40,20,0.83,0.70,8.62,100.00,100.00,100.00,62.60,3.20,15.60,66.00,96.90,0.00,0.00
PPP6.ppp,2,38,0.58,0.73,1.50,0.34,0,40,20,0.88,0.68,9.01,100.00,100.00,100.00,66.00,3.40,7.20,62.80,98.80,86.70,93.50
PPP7.ppp,2,38,0.50,0.93,1.69,0.22,0,40,20,0.91,0.81,9.79,100.00,100.00,100.00,86.90,3.80,12.10,76.80,100.00,75.50,93.30
PPP8.ppp,2,38,0.53,0.82,1.52,0.32,0,40,20,0.84,0.69,8.95,100.00,100.00,100.00,75.00,4.00,3.50,71.00,98.80,88.40,95.90
PPP9.ppp,2,38,0.37,0.75,1.44,0.32,0,40,20,0.86,0.76,8.62,100.00,100.00,100.00,82.60,1.70,10.80,69.60,99.90,0.00,0.00
PPP10.ppp,2,38,0.29,0.49,0.90,0.72,0,40,20,0.58,0.65,5.65,100.00,0.00,100.00,97.60,1.00,24.00,73.30,100.00,98.20,99.80
PPP11.ppp,4,38,0.36,0.38,0.54,0.98,142,28,20,0.52,0.58,3.85,100.00,100.00,100.00,70.80,1.40,13.50,69.50,99.80,0.00,0.00
PPP12.ppp,2,38,0.16,0.27,0.64,1.00,0,40,20,0.56,0.50,3.66,100.00,100.00,100.00,87.40,2.20,50.10,62.00,79.00,99.20,100.00
PPP13.ppp,3,38,0.59,0.79,1.68,0.30,0,40,20,0.87,0.73,9.60,100.00,100.00,100.00,73.00,3.20,17.90,74.70,100.00,38.10,31.30
PPP14.ppp,1,38,0.58,0.74,1.52,0.40,0,40,20,0.80,0.79,11.01,100.00,100.00,100.00,99.80,3.20,15.20,83.00,100.00,97.10,100.00
PPP15.ppp,2,38,0.76,0.81,1.43,0.36,0,40,20,0.83,0.71,9.03,100.00,100.00,100.00,84.40,3.80,15.30,76.60,97.60,97.20,99.00
PPP16.ppp,2,38,0.16,0.29,0.47,1.00,0,40,20,0.56,0.49,3.42,100.00,100.00,100.00,94.30,1.70,46.70,59.20,71.70,75.90,86.00
PPP17.ppp,2,38,0.35,0.33,1.14,0.62,0,40,20,0.84,0.63,6.72,100.00,100.00,100.00,74.20,2.20,28.60,70.10,99.80,81.00,86.40
PPP18.ppp,3,38,0.65,0.71,1.62,0.34,0,40,20,0.89,0.71,9.44,100.00,100.00,100.00,81.20,2.80,16.50,74.70,99.80,38.80,34.80
PPP19.ppp,2,38,0.15,0.78,1.52,0.32,0,40,20,0.86,0.72,8.29,100.00,76.30,100.00,44.70,0.00,10.20,24.60,89.50,64.30,62.40
PPP20.ppp,2,38,0.31,0.62,1.46,0.34,0,40,20,0.86,0.73,8.43,100.00,100.00,99.90,67.20,2.10,11.10,60.60,99.10,55.30,45.70
PPP21.ppp,2,38,0.08,0.31,0.66,1.00,0,40,20,0.56,0.53,3.78,100.00,43.40,100.00,83.40,0.00,3.10,20.30,95.20,99.70,100.00
PPP22.ppp,2,38,0.15,0.54,1.01,0.58,0,40,20,0.71,0.77,6.15,100.00,99.30,100.00,83.40,2.80,32.80,69.90,98.40,71.60,70.00
PPP23.ppp,2,38,0.46,0.56,1.51,0.28,0,40,20,0.92,0.75,9.05,100.00,78.50,100.00,89.30,0.00,20.40,66.40,99.90,50.10,44.10
PPP24.ppp,2,38,0.12,0.67,1.34,0.30,0,40,20,0.86,0.76,7.59,100.00,81.40,100.00,87.10,0.00,14.00,75.10,99.80,93.60,99.80
PPP25.ppp,2,38,0.64,0.15,1.01,0.60,6,40,20,0.68,0.63,6.27,100.00,0.00,100.00,94.50,1.60,29.00,79.80,99.90,99.40,100.00
PPP26.ppp,2,38,0.29,0.38,1.02,0.68,0,40,20,0.74,0.57,6.07,100.00,100.00,100.00,55.70,1.00,16.20,64.80,97.60,0.00,0.00
PPP27.ppp,4,38,0.05,0.36,0.68,1.00,0,40,20,0.62,0.56,3.81,100.00,49.70,100.00,70.50,0.00,14.90,27.40,23.10,73.40,74.30
PPP28.ppp,3,38,0.43,0.36,1.00,0.64,0,40,20,0.63,0.62,6.23,100.00,100.00,100.00,92.70,1.80,10.50,70.90,96.40,0.00,0.00
PPP29.ppp,2,38,0.13,0.62,1.36,0.34,0,40,20,0.84,0.73,7.77,100.00,0.00,100.00,57.70,0.80,15.00,33.10,99.70,62.80,65.20
PPP30.ppp,2,38,0.67,0.70,1.58,0.30,0,40,20,0.85,0.69,9.34,100.00,100.00,100.00,84.60,3.10,17.80,74.00,99.90,96.80,100.00
PPP31.ppp,2,38,0.48,0.57,1.20,0.50,10,40,20,0.80,0.64,7.30,100.00,100.00,100.00,95.50,4.20,26.60,83.50,100.00,94.30,98.00
PPP32.ppp,2,38,0.78,0.49,1.34,0.36,0,40,20,0.77,0.75,8.65,100.00,100.00,100.00,92.80,2.40,18.40,78.00,99.60,97.20,100.00
PPP33.ppp,3,38,0.74,0.52,1.62,0.32,0,40,20,0.89,0.69,9.47,100.00,100.00,100.00,92.40,3.10,34.90,81.90,100.00,97.40,99.60
PPP34.ppp,2,38,0.45,0.45,1.27,0.50,0,40,20,0.88,0.63,7.70,100.00,100.00,100.00,96.30,2.80,18.00,90.60,100.00,80.50,78.20
PPP35.ppp,2,38,0.56,0.37,0.96,0.62,0,40,20,0.70,0.60,6.20,100.00,0.00,100.00,95.00,4.10,30.10,78.00,100.00,96.30,98.80
PPP36.ppp,2,38,0.68,0.74,1.65,0.32,0,40,20,0.83,0.74,9.55,100.00,100.00,100.00,92.40,4.20,30.10,79.70,100.00,87.40,96.60
PPP37.ppp,2,38,0.50,0.49,1.39,0.48,0,40,20,0.79,0.64,7.95,100.00,100.00,100.00,86.80,2.10,37.40,75.50,100.00,98.70,100.00
