PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 9x9],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP49.ppp,2,78,0.67,0.72,1.49,0.41,0,5.63,100.00,100.00,100.00,85.10,0.40,4.50,61.30,98.90,80.60,91.60
PPP50.ppp,1,78,0.40,0.51,0.99,0.75,0,3.48,100.00,100.00,100.00,78.70,0.00,8.90,67.00,97.20,95.80,100.00
PPP51.ppp,2,78,0.38,0.18,0.63,1.02,0,1.89,100.00,100.00,100.00,74.70,0.00,5.60,34.80,83.80,88.20,89.20
PPP52.ppp,2,78,0.05,0.40,1.29,0.79,24,3.25,100.00,0.00,100.00,59.30,0.00,18.40,15.40,53.30,80.50,79.90
PPP53.ppp,2,78,0.06,0.72,1.28,0.82,0,3.12,100.00,100.00,100.00,41.00,0.00,29.30,14.40,66.30,35.20,27.20
PPP54.ppp,4,78,0.05,0.34,0.95,0.73,0,2.56,100.00,100.00,100.00,49.40,0.00,24.20,15.10,56.90,43.80,35.70
PPP55.ppp,2,78,0.06,0.72,1.21,0.76,0,3.10,100.00,100.00,100.00,73.90,0.20,34.00,18.00,73.60,48.10,41.10
PPP56.ppp,4,100,0.03,0.40,0.74,0.92,0,1.79,100.00,100.00,100.00,55.10,0.00,0.20,25.10,79.50,52.80,46.70
PPP57.ppp,4,78,0.01,0.36,0.74,1.00,42,1.65,100.00,71.40,100.00,46.30,0.00,3.80,10.90,48.50,28.80,24.10
PPP58.ppp,3,78,0.12,0.32,0.93,0.79,0,2.67,100.00,0.00,100.00,53.30,0.10,2.40,32.30,75.30,48.00,47.70
PPP59.ppp,2,78,0.04,0.28,0.75,1.03,0,1.58,100.00,75.40,100.00,23.80,0.00,25.80,4.80,52.80,77.20,90.30
