PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,VisWeighted,Bumper,Decision Bumper
PPP0.ppp,1,38,0.28,0.16,0.65,1.02,30,1.76,99.70,100.00
PPP1.ppp,3,38,0.53,0.13,0.65,0.92,18,2.06,89.10,98.70
PPP2.ppp,2,38,0.37,0.83,1.24,0.44,0,4.60,98.10,99.90
PPP3.ppp,2,38,0.42,0.30,0.79,0.86,0,2.61,59.50,57.70
PPP4.ppp,2,38,0.64,0.39,0.86,0.80,2,3.18,0.00,0.00
PPP5.ppp,2,38,0.43,0.10,0.85,0.70,0,3.02,0.00,0.00
PPP6.ppp,2,38,0.73,0.70,1.38,0.60,12,4.92,0.00,0.00
PPP7.ppp,2,38,0.46,0.23,0.57,1.02,50,1.81,0.00,0.00
PPP8.ppp,2,38,0.53,0.04,0.70,0.78,0,2.45,0.00,0.00
PPP9.ppp,8,52,0.05,0.29,0.54,1.14,0,0.84,0.00,0.00
PPP10.ppp,2,38,0.49,0.27,0.82,0.90,0,2.66,81.00,89.00
PPP11.ppp,2,38,0.11,0.65,0.96,0.88,0,2.64,93.00,98.10
PPP12.ppp,2,38,0.56,0.27,0.82,0.66,0,3.23,99.80,100.00
PPP13.ppp,8,52,0.05,0.29,0.54,1.14,0,0.84,0.00,0.00
PPP14.ppp,2,38,0.69,0.37,0.92,0.70,14,3.38,92.30,92.80
PPP15.ppp,2,38,0.61,0.35,0.89,0.64,0,3.55,97.10,99.90
PPP16.ppp,2,38,0.56,0.69,1.24,0.68,0,4.47,0.00,0.00
PPP17.ppp,6,38,0.37,0.11,0.52,0.94,0,1.60,0.00,0.00
PPP18.ppp,3,38,0.27,0.13,0.52,0.92,18,1.65,78.40,93.40
PPP19.ppp,2,38,0.05,0.41,0.78,0.98,0,1.75,74.80,89.00
PPP20.ppp,2,38,0.46,0.12,0.54,1.02,50,1.64,0.00,0.00
PPP21.ppp,2,38,0.05,0.35,0.70,1.06,0,1.42,97.90,100.00
PPP22.ppp,4,40,0.40,0.04,0.66,0.76,2,2.23,0.00,0.00
PPP23.ppp,2,38,0.55,0.46,0.86,0.74,0,3.19,94.30,99.00
PPP24.ppp,2,38,0.21,0.68,1.13,0.66,14,3.48,0.00,0.00
PPP25.ppp,2,38,0.33,0.17,0.72,0.80,0,2.42,0.00,0.00
PPP26.ppp,4,40,0.33,0.24,0.70,0.98,56,1.92,0.00,0.00
PPP27.ppp,2,38,0.31,0.60,1.13,0.56,0,4.01,99.60,100.00
PPP28.ppp,2,38,0.76,0.59,1.41,0.52,0,5.42,30.40,31.00
PPP29.ppp,5,42,0.21,0.36,0.85,0.68,0,2.76,0.00,0.00
PPP30.ppp,2,38,0.32,0.31,0.58,1.06,0,1.66,98.20,100.00
PPP31.ppp,1,38,0.32,0.45,0.77,1.06,12,2.05,95.60,100.00
PPP32.ppp,2,38,0.11,0.21,0.67,1.00,10,1.66,71.20,67.30
PPP33.ppp,2,38,0.56,0.48,1.15,0.58,0,4.49,0.00,0.00
PPP34.ppp,4,38,0.68,0.26,1.02,0.82,2,3.52,0.00,0.00
PPP35.ppp,2,38,0.34,0.11,0.53,0.90,0,1.77,0.00,0.00
PPP36.ppp,2,38,0.33,0.62,1.25,0.44,0,4.55,99.50,100.00
PPP37.ppp,2,38,0.25,0.14,0.66,1.06,0,1.73,99.80,100.00
PPP38.ppp,2,38,0.67,0.74,1.50,0.60,12,5.18,32.10,34.80
PPP39.ppp,6,44,0.04,0.34,0.76,1.00,30,1.50,0.00,0.00
PPP40.ppp,2,38,0.30,0.29,0.63,1.08,0,1.63,94.30,99.20
PPP41.ppp,2,38,0.50,0.17,0.99,0.58,0,3.73,0.00,0.00
PPP42.ppp,4,38,0.23,0.28,0.57,0.94,0,1.84,0.00,0.00
PPP43.ppp,1,38,0.58,0.35,0.97,0.68,0,3.60,100.00,100.00
PPP44.ppp,2,38,0.70,0.64,1.29,0.44,0,5.28,96.80,98.30
PPP45.ppp,6,38,0.25,0.34,0.56,1.00,0,1.64,0.00,0.00
PPP46.ppp,2,38,0.54,0.46,0.81,0.76,24,2.95,94.90,99.10
PPP47.ppp,2,38,0.28,0.17,0.69,1.00,20,1.91,64.40,77.20
PPP48.ppp,3,38,0.67,0.32,1.21,0.46,0,4.88,0.00,0.00
PPP49.ppp,2,38,0.15,0.04,0.86,0.78,0,2.26,85.90,98.10
PPP50.ppp,4,38,0.45,0.13,0.61,1.06,68,1.76,66.40,81.70
PPP53.ppp,4,38,0.05,0.14,0.74,1.00,0,1.56,57.00,59.70
PPP54.ppp,3,38,0.30,0.37,0.72,0.70,0,2.62,57.30,56.10
PPP55.ppp,2,38,0.42,0.10,0.56,1.04,0,1.60,55.10,43.50
PPP56.ppp,2,38,0.16,0.28,0.66,1.00,50,1.69,9.30,11.20
PPP57.ppp,2,38,0.05,0.46,0.63,1.00,130,1.36,95.60,99.70
PPP58.ppp,5,42,0.37,0.23,0.70,0.98,0,2.07,50.00,47.70
PPP59.ppp,5,40,0.33,0.06,0.55,1.00,2,1.35,31.40,26.60
PPP51.ppp,6,62,0.17,0.16,0.46,1.00,0,1.28,0.00,0.00
PPP52.ppp,2,38,0.34,0.11,0.48,1.12,94,1.18,61.70,49.40
